,2012-03
2006/04/28_243,"2012/03/26- [旺報/財富周報  名家股評/B9版] 


陸股重返多頭 10年線是關鍵


                【陳品橋／寶來標智滬深300基金經理人】　　目前大陸經濟正處在景氣循環底部，在一連串金融寬鬆政策加持下，未來若通膨壓力繼續控制、資金重返股市信心加強，一旦挑戰十年線成功，蟄伏已久的陸股，下一波攻勢力道將不可小覷。　　今年第一季的大陸股市表現，總算稍稍扭轉了去年下半年的空頭格局，讓投資人得以喘口氣。而從各種分析報告來看，大陸市場目前處於良好的氛圍中，從領導人明確表示要提振股市信心、大陸股市從來沒有出現連續三年的下跌行情、到中國人民銀行宣布調降銀行存準率兩碼等訊息，都對股市有著激勵效果。而且與國際其他主要市場相比，上證指數目前為止，第一季表現仍屬相對落後，是否產生補漲行情更令投資人高度關注與期待。　　長多確定 短線多空交戰　　雖然大陸的經濟景氣展望具有高度吸引力，也絕對是資產配置的首選，但並非處於一帆風順的狀態，仍舊不可忽略可能存在的風險與變數。　　首先從國際局勢來看，希臘債務問題現在似有轉機，但歐債其他國家的倒債危機猶存，若真的爆發將可能引起全球系統性風險；另外，油價持續位處高檔及氣候異常，可能造成原物料與農產品價格上揚，或將帶動大陸通貨膨脹的疑慮再起。　　另外，從大陸政策來看，政府做多心態明顯。如透過多方管道提供股市的資金供給，暫停央票的發行、計畫長期基金投資股市、加快QFII與RQFII額度的審批以及放寬大股東的增持規則等都是，其中最有效的應該是透過多次降息所產生的貨幣乘數來得最直接。　　總體而言，由於大陸目前處於極為複雜多空交戰的局面，政府得抑制房價、對抗通貨膨脹，同時又要保持經濟增長以及提振股民信心，要能同時達到這樣的目標確實不容易。　　貨幣寬鬆 為股市注活水　　大陸自2000年以來是全球經濟成長最快速的國家之一，由於擁有豐富的天然資源、人力資源及內需市場，在經濟不斷的改革開放下，不但是全球的工廠更是全球前三大的經濟體，過去在政策主導及匯率封閉的情形下，投資大陸的門檻及風險較高，但近幾年來國際企業不斷投資之下，大陸市場也逐漸走向國際化，金融投資的法令逐漸鬆綁，也成為全球投資的重要配置標的，備受全球投資機構關注的MSCI全球新興市場指數中，大陸就佔有約17％的比重，可見大陸市場在個人的資產配置中的重要地位。　　觀察大陸經濟的表現可以由出口及內需來觀察，出口的部分，一般預估大陸今年出口增長率會降到10%以下，若真是如此，對大陸經濟成長當然較為不利，不過大陸推動的「十二五規劃」，對外貿易指導原則為「擴進口、穩出口、減順差」，意即減少加工貿易出口，增加商品進口，也就是說，出口減緩其實已經是在預期之中，另外在內需投資上，過去幾年間由於房地產及原物料飆漲，造成資金往固定資產投資或炒作原物料上流動，所以打房及抗通膨的政策，其實有助於資金轉往其他內需資產前進，所以只要貨幣政策不持續緊縮，通膨受到良好控制，投資房價無利可圖時，資金就有機會轉往股市或債市發展，對於一般投資人來說相對有利。　　由於大陸推行貨幣國際化的腳步加速，人民幣呈現穩定升值的態勢不變，大陸股市今年表現仍值得期待。　　雖然大陸年年維持高度經濟成長，但投資大陸並非全無風險，以上證綜合指數為例，過去三年的年化波動率約在26％，另外近兩年大陸政府加強經濟結構及通貨膨脹的調整，採取緊縮貨幣政策，造成股市低迷不振，所以政策變動是投資人未來要特別小心的地方。　　低檔整理 挑戰10年線　　2010至2011年中國政策皆以打房與控通膨為主軸，緊縮的貨幣政策不利於股市表現；目前通貨膨脹隱憂已經逐步解除，貨幣政策有機會轉為寬鬆，加上又是政權交替的一年，對陸股重返多頭很有幫助。　　另外若從技術面來看，有一個很特別的指標可供投資人注意，那就是10年線。　　前兩次陸股成功回測10年線後，分別出現313％（2006/04/28-2007/10/31）、71％（2009/01/23-2009/07/31）的漲幅，而目前又來到10年線徘徊區，後市發展值得關注。　　從去年7月CPI年增率創下7.5%高點後，到今年2月的3.2%，通膨壓力已經逐漸降低；加上大陸央行於去年11月以及今年2月分別宣布調降兩次存準率兩碼，顯示目前大陸經濟正處在通貨膨脹滑落以及貨幣放鬆之間的景氣循環底部，未來若CPI數值能夠維持在4%左右，持續調降存準率的機率就會增加，利多氣氛若能讓市場信心恢復，資金動能一旦啟動，多頭行情自然就會來報到。
                
                


    
"
2007/10/31_244,"2012/03/26- [旺報/財富周報  名家股評/B9版] 


陸股重返多頭 10年線是關鍵


                【陳品橋／寶來標智滬深300基金經理人】　　目前大陸經濟正處在景氣循環底部，在一連串金融寬鬆政策加持下，未來若通膨壓力繼續控制、資金重返股市信心加強，一旦挑戰十年線成功，蟄伏已久的陸股，下一波攻勢力道將不可小覷。　　今年第一季的大陸股市表現，總算稍稍扭轉了去年下半年的空頭格局，讓投資人得以喘口氣。而從各種分析報告來看，大陸市場目前處於良好的氛圍中，從領導人明確表示要提振股市信心、大陸股市從來沒有出現連續三年的下跌行情、到中國人民銀行宣布調降銀行存準率兩碼等訊息，都對股市有著激勵效果。而且與國際其他主要市場相比，上證指數目前為止，第一季表現仍屬相對落後，是否產生補漲行情更令投資人高度關注與期待。　　長多確定 短線多空交戰　　雖然大陸的經濟景氣展望具有高度吸引力，也絕對是資產配置的首選，但並非處於一帆風順的狀態，仍舊不可忽略可能存在的風險與變數。　　首先從國際局勢來看，希臘債務問題現在似有轉機，但歐債其他國家的倒債危機猶存，若真的爆發將可能引起全球系統性風險；另外，油價持續位處高檔及氣候異常，可能造成原物料與農產品價格上揚，或將帶動大陸通貨膨脹的疑慮再起。　　另外，從大陸政策來看，政府做多心態明顯。如透過多方管道提供股市的資金供給，暫停央票的發行、計畫長期基金投資股市、加快QFII與RQFII額度的審批以及放寬大股東的增持規則等都是，其中最有效的應該是透過多次降息所產生的貨幣乘數來得最直接。　　總體而言，由於大陸目前處於極為複雜多空交戰的局面，政府得抑制房價、對抗通貨膨脹，同時又要保持經濟增長以及提振股民信心，要能同時達到這樣的目標確實不容易。　　貨幣寬鬆 為股市注活水　　大陸自2000年以來是全球經濟成長最快速的國家之一，由於擁有豐富的天然資源、人力資源及內需市場，在經濟不斷的改革開放下，不但是全球的工廠更是全球前三大的經濟體，過去在政策主導及匯率封閉的情形下，投資大陸的門檻及風險較高，但近幾年來國際企業不斷投資之下，大陸市場也逐漸走向國際化，金融投資的法令逐漸鬆綁，也成為全球投資的重要配置標的，備受全球投資機構關注的MSCI全球新興市場指數中，大陸就佔有約17％的比重，可見大陸市場在個人的資產配置中的重要地位。　　觀察大陸經濟的表現可以由出口及內需來觀察，出口的部分，一般預估大陸今年出口增長率會降到10%以下，若真是如此，對大陸經濟成長當然較為不利，不過大陸推動的「十二五規劃」，對外貿易指導原則為「擴進口、穩出口、減順差」，意即減少加工貿易出口，增加商品進口，也就是說，出口減緩其實已經是在預期之中，另外在內需投資上，過去幾年間由於房地產及原物料飆漲，造成資金往固定資產投資或炒作原物料上流動，所以打房及抗通膨的政策，其實有助於資金轉往其他內需資產前進，所以只要貨幣政策不持續緊縮，通膨受到良好控制，投資房價無利可圖時，資金就有機會轉往股市或債市發展，對於一般投資人來說相對有利。　　由於大陸推行貨幣國際化的腳步加速，人民幣呈現穩定升值的態勢不變，大陸股市今年表現仍值得期待。　　雖然大陸年年維持高度經濟成長，但投資大陸並非全無風險，以上證綜合指數為例，過去三年的年化波動率約在26％，另外近兩年大陸政府加強經濟結構及通貨膨脹的調整，採取緊縮貨幣政策，造成股市低迷不振，所以政策變動是投資人未來要特別小心的地方。　　低檔整理 挑戰10年線　　2010至2011年中國政策皆以打房與控通膨為主軸，緊縮的貨幣政策不利於股市表現；目前通貨膨脹隱憂已經逐步解除，貨幣政策有機會轉為寬鬆，加上又是政權交替的一年，對陸股重返多頭很有幫助。　　另外若從技術面來看，有一個很特別的指標可供投資人注意，那就是10年線。　　前兩次陸股成功回測10年線後，分別出現313％（2006/04/28-2007/10/31）、71％（2009/01/23-2009/07/31）的漲幅，而目前又來到10年線徘徊區，後市發展值得關注。　　從去年7月CPI年增率創下7.5%高點後，到今年2月的3.2%，通膨壓力已經逐漸降低；加上大陸央行於去年11月以及今年2月分別宣布調降兩次存準率兩碼，顯示目前大陸經濟正處在通貨膨脹滑落以及貨幣放鬆之間的景氣循環底部，未來若CPI數值能夠維持在4%左右，持續調降存準率的機率就會增加，利多氣氛若能讓市場信心恢復，資金動能一旦啟動，多頭行情自然就會來報到。
                
                


    
"
2009/01/23_245,"2012/03/26- [旺報/財富周報  名家股評/B9版] 


陸股重返多頭 10年線是關鍵


                【陳品橋／寶來標智滬深300基金經理人】　　目前大陸經濟正處在景氣循環底部，在一連串金融寬鬆政策加持下，未來若通膨壓力繼續控制、資金重返股市信心加強，一旦挑戰十年線成功，蟄伏已久的陸股，下一波攻勢力道將不可小覷。　　今年第一季的大陸股市表現，總算稍稍扭轉了去年下半年的空頭格局，讓投資人得以喘口氣。而從各種分析報告來看，大陸市場目前處於良好的氛圍中，從領導人明確表示要提振股市信心、大陸股市從來沒有出現連續三年的下跌行情、到中國人民銀行宣布調降銀行存準率兩碼等訊息，都對股市有著激勵效果。而且與國際其他主要市場相比，上證指數目前為止，第一季表現仍屬相對落後，是否產生補漲行情更令投資人高度關注與期待。　　長多確定 短線多空交戰　　雖然大陸的經濟景氣展望具有高度吸引力，也絕對是資產配置的首選，但並非處於一帆風順的狀態，仍舊不可忽略可能存在的風險與變數。　　首先從國際局勢來看，希臘債務問題現在似有轉機，但歐債其他國家的倒債危機猶存，若真的爆發將可能引起全球系統性風險；另外，油價持續位處高檔及氣候異常，可能造成原物料與農產品價格上揚，或將帶動大陸通貨膨脹的疑慮再起。　　另外，從大陸政策來看，政府做多心態明顯。如透過多方管道提供股市的資金供給，暫停央票的發行、計畫長期基金投資股市、加快QFII與RQFII額度的審批以及放寬大股東的增持規則等都是，其中最有效的應該是透過多次降息所產生的貨幣乘數來得最直接。　　總體而言，由於大陸目前處於極為複雜多空交戰的局面，政府得抑制房價、對抗通貨膨脹，同時又要保持經濟增長以及提振股民信心，要能同時達到這樣的目標確實不容易。　　貨幣寬鬆 為股市注活水　　大陸自2000年以來是全球經濟成長最快速的國家之一，由於擁有豐富的天然資源、人力資源及內需市場，在經濟不斷的改革開放下，不但是全球的工廠更是全球前三大的經濟體，過去在政策主導及匯率封閉的情形下，投資大陸的門檻及風險較高，但近幾年來國際企業不斷投資之下，大陸市場也逐漸走向國際化，金融投資的法令逐漸鬆綁，也成為全球投資的重要配置標的，備受全球投資機構關注的MSCI全球新興市場指數中，大陸就佔有約17％的比重，可見大陸市場在個人的資產配置中的重要地位。　　觀察大陸經濟的表現可以由出口及內需來觀察，出口的部分，一般預估大陸今年出口增長率會降到10%以下，若真是如此，對大陸經濟成長當然較為不利，不過大陸推動的「十二五規劃」，對外貿易指導原則為「擴進口、穩出口、減順差」，意即減少加工貿易出口，增加商品進口，也就是說，出口減緩其實已經是在預期之中，另外在內需投資上，過去幾年間由於房地產及原物料飆漲，造成資金往固定資產投資或炒作原物料上流動，所以打房及抗通膨的政策，其實有助於資金轉往其他內需資產前進，所以只要貨幣政策不持續緊縮，通膨受到良好控制，投資房價無利可圖時，資金就有機會轉往股市或債市發展，對於一般投資人來說相對有利。　　由於大陸推行貨幣國際化的腳步加速，人民幣呈現穩定升值的態勢不變，大陸股市今年表現仍值得期待。　　雖然大陸年年維持高度經濟成長，但投資大陸並非全無風險，以上證綜合指數為例，過去三年的年化波動率約在26％，另外近兩年大陸政府加強經濟結構及通貨膨脹的調整，採取緊縮貨幣政策，造成股市低迷不振，所以政策變動是投資人未來要特別小心的地方。　　低檔整理 挑戰10年線　　2010至2011年中國政策皆以打房與控通膨為主軸，緊縮的貨幣政策不利於股市表現；目前通貨膨脹隱憂已經逐步解除，貨幣政策有機會轉為寬鬆，加上又是政權交替的一年，對陸股重返多頭很有幫助。　　另外若從技術面來看，有一個很特別的指標可供投資人注意，那就是10年線。　　前兩次陸股成功回測10年線後，分別出現313％（2006/04/28-2007/10/31）、71％（2009/01/23-2009/07/31）的漲幅，而目前又來到10年線徘徊區，後市發展值得關注。　　從去年7月CPI年增率創下7.5%高點後，到今年2月的3.2%，通膨壓力已經逐漸降低；加上大陸央行於去年11月以及今年2月分別宣布調降兩次存準率兩碼，顯示目前大陸經濟正處在通貨膨脹滑落以及貨幣放鬆之間的景氣循環底部，未來若CPI數值能夠維持在4%左右，持續調降存準率的機率就會增加，利多氣氛若能讓市場信心恢復，資金動能一旦啟動，多頭行情自然就會來報到。
                
                


    
"
2009/07/31_246,"2012/03/26- [旺報/財富周報  名家股評/B9版] 


陸股重返多頭 10年線是關鍵


                【陳品橋／寶來標智滬深300基金經理人】　　目前大陸經濟正處在景氣循環底部，在一連串金融寬鬆政策加持下，未來若通膨壓力繼續控制、資金重返股市信心加強，一旦挑戰十年線成功，蟄伏已久的陸股，下一波攻勢力道將不可小覷。　　今年第一季的大陸股市表現，總算稍稍扭轉了去年下半年的空頭格局，讓投資人得以喘口氣。而從各種分析報告來看，大陸市場目前處於良好的氛圍中，從領導人明確表示要提振股市信心、大陸股市從來沒有出現連續三年的下跌行情、到中國人民銀行宣布調降銀行存準率兩碼等訊息，都對股市有著激勵效果。而且與國際其他主要市場相比，上證指數目前為止，第一季表現仍屬相對落後，是否產生補漲行情更令投資人高度關注與期待。　　長多確定 短線多空交戰　　雖然大陸的經濟景氣展望具有高度吸引力，也絕對是資產配置的首選，但並非處於一帆風順的狀態，仍舊不可忽略可能存在的風險與變數。　　首先從國際局勢來看，希臘債務問題現在似有轉機，但歐債其他國家的倒債危機猶存，若真的爆發將可能引起全球系統性風險；另外，油價持續位處高檔及氣候異常，可能造成原物料與農產品價格上揚，或將帶動大陸通貨膨脹的疑慮再起。　　另外，從大陸政策來看，政府做多心態明顯。如透過多方管道提供股市的資金供給，暫停央票的發行、計畫長期基金投資股市、加快QFII與RQFII額度的審批以及放寬大股東的增持規則等都是，其中最有效的應該是透過多次降息所產生的貨幣乘數來得最直接。　　總體而言，由於大陸目前處於極為複雜多空交戰的局面，政府得抑制房價、對抗通貨膨脹，同時又要保持經濟增長以及提振股民信心，要能同時達到這樣的目標確實不容易。　　貨幣寬鬆 為股市注活水　　大陸自2000年以來是全球經濟成長最快速的國家之一，由於擁有豐富的天然資源、人力資源及內需市場，在經濟不斷的改革開放下，不但是全球的工廠更是全球前三大的經濟體，過去在政策主導及匯率封閉的情形下，投資大陸的門檻及風險較高，但近幾年來國際企業不斷投資之下，大陸市場也逐漸走向國際化，金融投資的法令逐漸鬆綁，也成為全球投資的重要配置標的，備受全球投資機構關注的MSCI全球新興市場指數中，大陸就佔有約17％的比重，可見大陸市場在個人的資產配置中的重要地位。　　觀察大陸經濟的表現可以由出口及內需來觀察，出口的部分，一般預估大陸今年出口增長率會降到10%以下，若真是如此，對大陸經濟成長當然較為不利，不過大陸推動的「十二五規劃」，對外貿易指導原則為「擴進口、穩出口、減順差」，意即減少加工貿易出口，增加商品進口，也就是說，出口減緩其實已經是在預期之中，另外在內需投資上，過去幾年間由於房地產及原物料飆漲，造成資金往固定資產投資或炒作原物料上流動，所以打房及抗通膨的政策，其實有助於資金轉往其他內需資產前進，所以只要貨幣政策不持續緊縮，通膨受到良好控制，投資房價無利可圖時，資金就有機會轉往股市或債市發展，對於一般投資人來說相對有利。　　由於大陸推行貨幣國際化的腳步加速，人民幣呈現穩定升值的態勢不變，大陸股市今年表現仍值得期待。　　雖然大陸年年維持高度經濟成長，但投資大陸並非全無風險，以上證綜合指數為例，過去三年的年化波動率約在26％，另外近兩年大陸政府加強經濟結構及通貨膨脹的調整，採取緊縮貨幣政策，造成股市低迷不振，所以政策變動是投資人未來要特別小心的地方。　　低檔整理 挑戰10年線　　2010至2011年中國政策皆以打房與控通膨為主軸，緊縮的貨幣政策不利於股市表現；目前通貨膨脹隱憂已經逐步解除，貨幣政策有機會轉為寬鬆，加上又是政權交替的一年，對陸股重返多頭很有幫助。　　另外若從技術面來看，有一個很特別的指標可供投資人注意，那就是10年線。　　前兩次陸股成功回測10年線後，分別出現313％（2006/04/28-2007/10/31）、71％（2009/01/23-2009/07/31）的漲幅，而目前又來到10年線徘徊區，後市發展值得關注。　　從去年7月CPI年增率創下7.5%高點後，到今年2月的3.2%，通膨壓力已經逐漸降低；加上大陸央行於去年11月以及今年2月分別宣布調降兩次存準率兩碼，顯示目前大陸經濟正處在通貨膨脹滑落以及貨幣放鬆之間的景氣循環底部，未來若CPI數值能夠維持在4%左右，持續調降存準率的機率就會增加，利多氣氛若能讓市場信心恢復，資金動能一旦啟動，多頭行情自然就會來報到。
                
                


    
"
2012-03-01_341,"學者：房市混沌 長期趨跌
【中央社】
內政部營建署昨天公布去年第4季住宅需求動向調查，由政治大學地政系特聘教授張金鶚進行簡報，他表示，現在房市處混沌態勢，房價沒有走高理由，混沌態勢得等到第2季以後才慢慢消退。長期趨勢來看，房價往下走的情況，第 3 季會比較清楚，但真正發酵應該是明年之後。
調查顯示，整體調查地區房價所得比為9.3倍，較去年第3季增加0.1倍，創新高；個別區域中，台北市為15.3倍，也較去年第3季增加1.1倍，台北市的購屋負擔高達47.8%，較前1季增加1.2%，也是個別區域中最高者。
調查顯示，去年第4季整體調查地區平均購屋總價新台幣960.7萬元，平均購屋單價每坪23萬元，其中台北市平均購屋總價2347.9萬元，較去年第3季減少，每坪單價為51.3萬元，下跌17.5%。不過，新北市平均購屋總價則上升至1026.3萬元，每坪單價為28.4萬元，上升3.4%。
【2012-03-01/Upaper/3版/焦點】
"
2012-03-01_354,"野柳蓋國際 旅館 房產喜餐廳憂
【記者牟玉珮╱萬里報導】
新北巿萬里區野柳地質公園旁的兩棟閒置10多年的6層樓建築，最近搭起施工圍籬，大興整修，最遲今年底會「變身」國際觀光旅館，由於將對附近商機產生巨大改變，當地商家和地方居民憂喜參半。
新北市府去年8月修正土地使用分區管制要點後，野柳海洋世界前兩棟十多年前蓋好閒置至今、各占地4百坪的6層樓建築，因此「鹹魚翻生」，已轉讓給一家跨足兩岸經營國際旅館的台商企業。
野柳風景區將開觀光級國際旅館的消息，讓野柳在地人議論紛紛，有人發現周邊20、30年沒人住的老房子，都被業者訂走，準備作員工宿舍。
在地人開心房價上價，但海鮮餐廳業者擔心旅館內附設酒樓，會使自家生意受到影響，打算轉型賣其他商品，風景區內的攤販和商家有的還不免憂心將來賣的商品打不過旅館附設商場。
野柳地質公園總經理楊景謙認為場外商家一定要轉型，野柳一定會改變，目前大家都還在觀望。
野柳海洋世界經理錢建龍說，「旅館進來是好事」，只要客人停留時間一多，就會帶動周邊的商機。
觀光局長陳國君昨天指出，萬金地區旅館、民宿需求嚴重不足，旅館是觀光業的火車頭，只要有好的住宿品質，留住客人消費，就能活絡當地的觀光發展及商機。
據了解，這家公司貸款5億元投資改建旅館，將有2、300個房間，預定今年底前會開業。
【2012-03-01/聯合報/B1版/基隆‧運動】
"
2012-03-01_417,"329檔爆量
北台推案逾2000億 年增近1倍
創2007年來第二大量，近期股市亮麗，建商推案信心倍增，北中南三大都會區推案量高達3000億。
【記者游智文╱台北報導】
年度房市第一大檔「329檔」今天正式登場，根據住展雜誌統計，今年北中南三大都會區上演噴量戲碼，總計推案量達3000億元，其中北台灣即逾2000億，較去年大增近一倍，是自2007年來的第二大量，但低於2008年的2220億元。
住展雜誌研發長倪子仁分析，今年329爆出大量，除因自去年下半年起建商延遲推案所產生的遞延效應外，近期股市亮麗，也讓建商信心倍增，認為最壞的時機已經過去。不過，他表示到底有沒有過去，仍得看最後銷售率能否突破五成。
住展雜誌上午公布今年329檔的推案市場調查，從3月1日至4月30日的329檔期，北台灣推案量高達2020億元，是自2007年、近6年來的第二大量，推案量僅比2008年馬英九第一次當選總統時的2220億元大量，減少約一成。
另估算大台中都會區3、4月推出的新案約700億，大高雄地區則約300億，合計全台3大都會區的推案量達3000億元。
北台灣五大區塊中，以台北市702億元推案量最多，其次分別為新北市572億元，新竹429億以及桃園317億元。桃園與新竹雖推案金額較少，但因單價較雙北市房價低出許多，戶數不見得較少，推測主要是看好首購買氣，許多知名建商轉往桃園及新竹地區所帶動的推案熱潮。
台北市今年329檔期，12個行政區中，有9個行政區有推案，其中最受市場關注的是位於士林夜市旁，由興富發建設投資興建的「台北苑」，興富發先前曾喊出降價25%，最後會如何開價以及成交價高低，業界、民眾都在看。
新北市推案則集中在新莊、中和、林口、淡水，大型個案包括宏盛建設的新莊昌平街案、遠雄建設新莊「巴黎花園」，中和左岸系列的「百合園」及「香奈園」等案。
以大型建商來看，遠雄最積極，推案量高達260億元，其次為興富發175億元、華固130億元、富宇72億元、宜誠機構48 億元，中悅、旺洲、宏盛與宏普也都有代表性個案推出，預料本月起各大建商將展開新一波強銷攻勢，力求炒熱市場。
【2012-03-01/聯合晚報/B8版/基金理財‧房市焦點】
"
2012-03-01_455,"房價所得比 創新高
想在 北市買房 不吃不喝15.3年
除新北市外 其他房價都下跌 北市去年第四季每坪下跌11萬 金融海嘯後首度回跌 「奢侈稅仍有加強空間」
【記者何醒邦╱台北報導】
內政部營建署昨天發布最新住宅需求動向調查，台北市去年第四季平均單價每坪51.3萬元、較前一季下跌17.5%、每坪下跌約11萬元，這是金融海嘯之後，北市房價首度回跌。
不過新北市房價依然撐在高點，第四季平均單價每坪28.4萬元，較前一季上漲3.4%，也是六大都會區中唯一不跌反漲的區域。
政大教授張金鶚說，大台北房價已啟動走跌趨勢，但未來一、兩季仍會呈現混沌局面，預期更清楚的下跌走勢將在第三季浮現，明年進一步發酵。
營建署調查顯示，去年第四季民眾購屋負擔持續加重，全台房價所得比達9.3倍，也就是不吃不喝9.3年才買得起房子，較上季上升0.1倍，再創歷史新高。
六大都會區中，以台北市的15.3倍最高，其次為新北市的10倍，桃竹地區、台中、台南、高雄市在6.6至8.2倍之間，台南仍是全國購屋壓力最輕的地區，為6.6倍。
雖房價所得比持續升高，但調查發現，除新北市外，其他地區房價都出現下跌，推測原因，應和第四季出手購屋的民眾，以財力較不足的首購族居多，房價雖下滑，但對他們而言，購屋仍是沉重負擔。
張金鶚也表示，整體調查中，新購置住宅者以賺取價差為目的比例已連續兩季減少；欲購置住宅者，賺取價差比例卻已連續兩季增加，「奢侈稅雖有發生效果，但效果有加強的空間」。
營建署也調查民眾對實價登錄及課稅的看法，多數民眾贊成在不增加自用住宅稅負下，實施實價課稅，顯示該政策未來推動時，阻力沒有想像大。
【2012-03-01/聯合報/AA3版/財經】
"
2012-03-01_79,"北市上季房價 大跌近兩成
海嘯來首見下滑 每坪由62萬降至51萬 全台房價所得比仍高 不吃不喝9.3年才能購屋
【記者黃啟菱╱台北報導】
營建署昨（29）日公布去年第四季的住宅需求動向調查，結果顯示，台北市房價為每坪51.3萬元，與第三季的每坪62.2萬元相較，跌幅近兩成，是金融海嘯以來首次下跌，形同打破「台北市房價不會跌」的神話。
全台房價所得比則走至歷史新高，達9.3倍，也就是說，想買房者得不吃不喝9.3年才能買到；貸款負擔率則為33.8%，民眾若要買房，33.8%的收入得用來繳房貸。但是台北市房價所得比為15.3倍、貸款負擔率47.8%，都較最高點時略跌。
負責此調查的政治大學地政系教授張金鶚表示，房價近年來已漲多，所得卻沒跟著漲，因總統大選落幕，房市看似轉佳，但一切終究會回歸基本面，預期第三季開始房價就又會走跌、明年會更明顯。
不過，台北市房價走跌，反而讓人想進場，調查指出，台北市想買房的受訪者中，有兩成是為了投資、其中又有50%是想賺價差，想賺價差者的比重已連兩季上升，顯然奢侈稅等打炒房措施並未完全讓投資客卻步。
張金鶚指出，去年第四季房價漲跌看法轉以持平為主，全台房價綜合趨勢分數則為106.9分，較前季的121分下降許多，新北市更低於100分（高於100分代表看漲、反之則看跌）。
全台受訪者對近期房價的看法為112分，以台南市的128分最高、新北市102分較低；未來趨勢分數則為102分，同樣以台南市117分最高，新北市93分最低，看漲比例較上季減少。
未來趨勢分數低於近期，漲跌看法分歧，張金鶚認為，這反映市場未來可能出現向下盤整態勢。
調查也指出，民眾反對實價登錄與實價課稅的比例很低，顯示這兩個政策推動阻力小，若能再加強政策宣導與落實施行，將有助於房市場之健全。
此調查是透過銀行與房仲，針對在去年第四季購屋的人與想購屋的人所進行，新購屋者的有效樣本數為1,303份、欲購屋者則有1,301份。
【2012-03-01/經濟日報/A17版/產業焦點】
"
2012-03-02_120,"國泰金：量若恢復 房價將漲
【記者孫中英╱台北報導】
國泰金控經濟研究處昨天發布研究報告指出，大台北的房市「量先行、價後動」；「只要成交量恢復」，房市交易將有機會轉趨活絡。國泰金經研處指出，奢侈稅實施至今，台北市及新北市房價並未受到明顯影響，房價仍然持續上漲，只是漲幅收斂。國泰金指出，自去年6月到今年1月，台北市房價上漲約2.1%，新北市房價上漲約3.3%。國泰金經研處指出，未來6個月台北市及新北市房市的每月平均成交量，如果能回升到每月4000件、7000件的水準，則台北市及新北市的房價將各再上漲8.85%及10.54%。國泰金表示，台北市房市交易量，今年1月已創下2230件的歷史新低成交量，新北市1月的房市成交量也只有3385件。不過，國泰金經研處也表示，即使房市成交量繼續維持在目前的低檔，大台北地區房價短期內仍應有撐，不至出現大幅下滑的可能。
【2012-03-02/聯合報/AA3版/財經】
"
